64 64 32
-1.1372485188092932e-21 -3.5447266668513533e-20 -1.7553459155413129e-20 -6.3713545123357188e-28
-1.1068432137361173e-21 4.4237923051032791e-20 -1.8170754968493466e-20 -1.3085576670196860e-27
-1.0738631211792291e-21 -4.6594143098674901e-20 -1.8841723451825310e-20 -8.3822153381450730e-28
-1.0392347521796898e-21 6.2722092234028834e-20 -1.9651854363082511e-20 3.2620691925623763e-28
-9.9890765813963843e-22 -6.9857305018851040e-20 -2.0553063323579310e-20 -5.5421292327297384e-28
-9.4367417762044476e-22 1.1475044110865074e-19 -2.1634587389150302e-20 -1.7020773555673805e-28
-8.5822207540312102e-22 -1.3487857170013715e-19 -2.2906197317431806e-20 -3.0819013904227951e-29
-6.7020426067025049e-22 6.5842547331905505e-19 -2.4331920294178033e-20 2.4224225345814655e-29
4.8813691552861144e-20 -1.5306091992288003e-17 2.2446093440088542e-16 2.7567389198812461e-21
3.3464026077827886e-21 -1.8106558466855511e-17 5.7255758090966524e-17 2.6900024580678215e-20
-4.8193195281846447e-20 -5.2885506402128607e-18 9.7786321610347043e-18 5.8969022000530924e-21
-8.2661927746177868e-20 -5.1342902345938487e-18 -8.0404514624503853e-18 1.5728210738921939e-22
-1.0318279998267332e-19 1.6181934644889184e-18 -5.4319926885452396e-18 4.5715505532030586e-23
-7.8850747486155542e-20 -4.8568468827801357e-20 2.6713406853985264e-18 -1.1470366285856295e-21
-1.1053714643266563e-19 -2.1199208550564167e-18 -4.2678645699840878e-18 -1.4569893226704046e-21
-9.9384411722623231e-20 2.6743741836055000e-18 -2.1454296929814726e-19 -7.1173188623496460e-22
-6.1600611499702119e-20 7.3295469127327958e-19 -9.8210965546363829e-19 -3.6159531023228306e-22
-5.9096628241429699e-20 2.0749280680673711e-19 -2.9149826240849010e-19 8.7932001663117546e-23
-3.8916104502336681e-20 1.3082035621513075e-18 1.9477256393124555e-19 2.5498919485801836e-22
-1.7028607516610879e-20 1.0843926691651464e-19 3.1391333157072420e-19 3.2868974132168487e-22
-2.8829283047535006e-20 -5.1248151370866327e-19 8.2604695939214376e-20 7.7237479403491330e-23
-3.0748350764647159e-20 2.5207869909586203e-19 2.5818751594924959e-20 6.2803514994726102e-23
-2.7054615497033966e-20 -7.2898019147664156e-20 -1.6039716848436431e-19 2.0850188348025591e-23
-2.9072092646890746e-20 3.7580180470787535e-20 -4.7219231790304022e-20 1.7750074639486742e-23
-2.5274505138085780e-20 1.3908038491455923e-19 -5.6573488350223857e-20 -9.4628058191147118e-24
-1.9890736289680481e-20 1.5020096393438911e-19 1.2553805468622385e-19 -7.9191227467029404e-24
-1.5083428539023003e-20 1.0533969273870337e-19 5.4584307338312674e-20 -5.6060901983648248e-24
-1.1386314033710391e-20 6.8338536102782023e-20 -1.5348702404103016e-20 -1.5949870804205794e-24
-1.0600973683215445e-20 -1.0671947953273914e-20 -3.0544471895150398e-21 9.4984123128733234e-25
-1.0072356036598519e-20 3.5083357280582563e-20 1.4915400693856392e-20 1.1447445292169173e-24
-9.0872125412032227e-21 9.0266583789841370e-21 -5.1455042279125020e-21 2.8200567390239354e-24
-8.1233977410191757e-21 3.5274031169383258e-20 7.3047484135895054e-21 3.8677351157461329e-24
-7.0136922263736596e-21 1.1313122005854596e-20 9.9629886095674784e-22 5.0843883194639338e-24
-6.2335312389417892e-21 2.4331027580412167e-20 -7.4115543007751218e-22 2.3316456439800170e-24
-5.4540226211347069e-21 8.1891039192327095e-21 -1.4384466096377726e-21 2.1015252443833795e-24
-4.7752164015565763e-21 2.0763170097289504e-20 4.7764419614518312e-22 2.6429806818451986e-25
-4.1268590126376340e-21 5.4708119005575540e-21 -4.2099669158470050e-21 3.1826198739071978e-25
-3.6640615739731000e-21 1.4092580181088935e-20 -3.2328582659521004e-21 6.3942216092660393e-25
-3.2744110465003115e-21 1.9239238103104683e-21 -4.5091963633249006e-21 5.9242922618550013e-25
-2.9612288531948054e-21 1.0720776141816935e-20 -4.4244322184300000e-21 2.8183445680313569e-25
-2.7124789928784232e-21 -2.5421881198043050e-22 -4.9023411368617027e-21 2.9072799944036889e-25
-2.4952909841213775e-21 8.9048550470426738e-21 -6.4054117611708311e-21 9.8078149268205276e-26
-2.3157663053696919e-21 -1.4472227560624932e-21 -5.1909506757584010e-21 1.1836648637849706e-25
-2.1779632148216440e-21 7.1570939641741200e-21 -5.2393128899142010e-21 -4.0455666467062301e-26
-2.0550341794184519e-21 -2.0992766890822236e-21 -5.3492667952972474e-21 -1.6034907606501822e-26
-1.9657699266196805e-21 5.9564975715403274e-21 -5.6874631113832612e-21 -4.7205125416845680e-26
-1.8784804746298861e-21 -2.2566567138212586e-21 -5.8137254278502385e-21 -1.1079470790280356e-26
-1.8016308550798370e-21 5.5701682555818775e-21 -5.7403993231173546e-21 -4.2968807942235161e-26
-1.7301547007455678e-21 -2.3687864820259371e-21 -5.8822882620000511e-21 -4.4175283518433283e-26
-1.6623857312488531e-21 5.3230387493022899e-21 -5.9318348418659469e-21 -8.2724865883751053e-26
-1.6139482902125349e-21 -3.0848600363981082e-21 -6.1116204593602786e-21 -2.1945771509386105e-26
-1.5845596054651055e-21 4.5636639477351180e-21 -6.3192667101148387e-21 -6.5810395836235238e-26
-1.5597640596436655e-21 -3.3569461035444801e-21 -6.2497828775663758e-21 -2.3799919011570935e-26
-1.5310090537875246e-21 4.9098810425033551e-21 -6.3110826213420513e-21 -8.1319724352670505e-26
-1.4944037461498750e-21 -3.1325988325663134e-21 -6.3493631537699227e-21 -2.6933182528163085e-26
-1.4599165164555971e-21 5.1870321433059015e-21 -6.4549030412282666e-21 -3.1065926583677843e-26
-1.4233375532290271e-21 -3.2665610295837776e-21 -6.5985934741652799e-21 -6.8529736067129409e-27
-1.3894221443363055e-21 5.5636142315659060e-21 -6.7891018091569718e-21 -1.1717616293721775e-26
-1.3511175600609302e-21 -3.3645558226906760e-21 -6.9157225190704817e-21 7.4687610287326223e-27
-1.3141738288812726e-21 6.1786456658268132e-21 -7.0757896859178446e-21 -5.9685394203804921e-27
-1.2770496825063160e-21 -3.8234761776462290e-21 -7.2565130100061019e-21 1.8661134901607693e-27
-1.2458974568071720e-21 6.7013664460358820e-21 -7.4539518400937959e-21 -6.3897974651657081e-27
-1.2179658022563981e-21 -4.7692879259782263e-21 -7.6387532348452707e-21 1.2058031548614820e-27
-1.1934188956642623e-21 7.7588717183044421e-21 -7.9220147915917486e-21 -8.8781382895015517e-27
-1.1664571124587639e-21 -5.6202920455047500e-21 -8.1297384753796336e-21 -1.4953488433657938e-27
-1.1371283198964749e-21 1.0172428632893721e-20 -8.4375851502935593e-21 -5.8661907948194978e-27
